model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M4_block_alpha_full_response,3,0.00386312763640001,1.4923755135117528e-5,TRUE,alpha_stable,"alpha[6,1]",0.2047805676364,0.160855125,0.04325227820000001,0.510066276,1.0003869779364067,3923.152608991387,1646.9012810486458,0.20091744
M4_block_alpha_full_response,3,0.060754343062267235,0.003691090200927659,TRUE,alpha_stable,"alpha[7,1]",0.19855403306226724,0.0583453345,7.819222160000001e-4,0.878261957,0.9994917888999576,5839.495391461513,3031.887991633132,0.13779969
M4_block_alpha_full_response,3,0.24626986605729728,0.06064884692787914,TRUE,alpha_stable,"alpha[8,1]",0.26825801205729727,0.140349135,0.0019440741100000005,0.9094182484999995,1.000484747566861,5877.147818864498,2651.3787949579246,0.021988146
M4_block_alpha_full_response,3,-0.2787420387457453,0.07769712416413459,TRUE,alpha_stable,"alpha[9,1]",0.3462944412542547,0.21547461499999998,0.003592495585000001,0.962359383,1.0001118114976508,6098.287420205444,3186.1628085504717,0.62503648
M4_block_alpha_full_response,3,-3.334870796286248e-5,1.1121363227922875e-9,TRUE,alpha_stable,"alpha[10,1]",0.0012197286920371374,8.9136253e-4,5.975901745000001e-5,0.0034490040199999994,0.9999540159269421,3721.8893591292353,2711.124878836016,0.0012530774
M4_block_alpha_full_response,3,-0.47603606574793594,0.22661033589277318,TRUE,alpha_stable,"alpha[11,1]",0.27438734425206407,0.11562819499999999,0.0014319352700000003,0.9484663280000001,1.0013444820805897,6514.905622724955,2948.446420195203,0.75042341
M4_block_alpha_full_response,3,-0.09950361071444,0.009900968545210819,TRUE,alpha_stable,"alpha[12,1]",0.15567791928556,0.146415275,0.052828106799999996,0.2847494685,1.0020511992852053,6194.876648108365,2534.494980385351,0.25518153
M4_block_alpha_full_response,3,0.013222859556610955,1.7484401485385768e-4,TRUE,alpha_stable,"alpha[13,1]",0.298148739556611,0.15649462,0.0016273624750000005,0.9288827459999996,0.9996565657659532,5083.963881277523,2910.027376574987,0.28492588
M4_block_alpha_full_response,3,-0.6812811236160797,0.4641439693955881,FALSE,alpha_stable,"alpha[14,1]",0.2845054463839203,0.12221933,9.55483391e-4,0.948933711,1.001371197456571,6415.241916764978,2555.490895775536,0.96578657
M4_block_alpha_full_response,3,-0.21166630801216157,0.04480262594749926,TRUE,alpha_stable,"alpha[15,1]",0.5102916119878385,0.514737995,0.03087261225,0.9710125624999998,1.0023012196866783,5452.915992290904,1934.8029659912736,0.72195792
M4_block_alpha_full_response,3,0.42413830626218074,0.17989330283895144,TRUE,alpha_stable,"alpha[16,1]",0.5016850832621808,0.56030716,0.0021931284799999997,0.9867369149999999,1.000224287205838,3794.9596121317836,3176.5142960774842,0.077546777
M4_block_alpha_full_response,3,-0.44624609722601116,0.1991355792894466,TRUE,alpha_stable,"alpha[17,1]",0.5284618027739888,0.55197987,0.030034908150000005,0.978652,1.0011018182979818,5434.672080847809,2493.701573320787,0.9747079
M4_block_alpha_full_response,3,0.352328676550628,0.12413549631991704,FALSE,alpha_stable,"alpha[18,1]",0.356948830450628,0.25945370999999995,0.004787677915000001,0.9522255324999999,1.0007625603934922,5522.701595080641,2548.3178532086145,0.0046201539
