model,replication,parameter_class,n_parameters,pearson_r,spearman_rho,mean_bias,rmse,interval_coverage
M3_block_alpha_stickiness,5,alpha_stable,65,0.7402976972034971,0.706555944055944,-0.07073821582842572,0.2536256502044669,0.8461538461538461
M3_block_alpha_stickiness,5,alpha_volatile,65,0.6400975428499761,0.6167832167832168,-0.12119340544004226,0.2901948026616392,0.8
M3_block_alpha_stickiness,5,beta,65,0.9780148000663637,0.9516171328671329,-0.44672972482387413,6.7709832588337555,0.9384615384615385
M3_block_alpha_stickiness,5,delta_alpha,65,0.5032731305910113,0.5118881118881119,-0.050455189638551834,0.3238241798981201,0.9076923076923077
M3_block_alpha_stickiness,5,delta_log_alpha,65,0.40182457410194794,0.4791083916083916,-0.12468491747559778,2.262755419826749,0.8769230769230769
M3_block_alpha_stickiness,5,rho,65,0.9225021415316643,0.9038461538461539,-0.07851955905903965,0.30875209215482136,0.8461538461538461
M4_block_alpha_full_response,1,alpha_stable,65,0.432398682864988,0.5064248251748251,-0.16326815182073262,0.35468254144575123,0.8307692307692308
M4_block_alpha_full_response,1,alpha_volatile,65,0.803310809339651,0.7924825174825175,-0.052231881248617974,0.23048014137126874,0.8461538461538461
M4_block_alpha_full_response,1,beta,65,0.9843582136652315,0.9046765734265734,0.31284560038568743,3.2011363285698478,0.9076923076923077
M4_block_alpha_full_response,1,delta_alpha,65,0.5863473723978718,0.5215472027972028,0.11103627061666287,0.3776405482996015,0.8461538461538461
M4_block_alpha_full_response,1,delta_log_alpha,65,0.5263490477292936,0.5597027972027973,1.2723424863272301,2.8208068004771514,0.8923076923076924
M4_block_alpha_full_response,1,rho,65,0.9302736252357143,0.883479020979021,0.0029697277301712535,0.2538727108292378,0.8461538461538461
M4_block_alpha_full_response,1,side_bias,65,0.9510771992986004,0.909965034965035,0.04866217421097449,0.24727836566417685,0.9230769230769231
M4_block_alpha_full_response,2,alpha_stable,65,0.5515406271025106,0.6479458041958042,-0.12814619810746536,0.28473137661860287,0.8461538461538461
M4_block_alpha_full_response,2,alpha_volatile,65,0.6608864126037173,0.5476398601398601,-0.051364134411592655,0.253664658072631,0.8769230769230769
