model,subject_index,participant_id,alpha_stable,alpha_volatile,delta_log_alpha,beta,rho,side_bias,alpha_general,avoidance,anxiety,insecurity,reappraisal,suppression,maternal_care,maternal_overprotection,paternal_care,paternal_overprotection
M3_block_alpha_stickiness,25,13546009,0.5595650022010265,0.5001367236600865,-0.16404900474509249,0.955387479045475,0.4290128731869675,NA,NA,3.625,2.777777778,3.176470588,5,2.75,10,8,0,0
M3_block_alpha_stickiness,26,13547563,0.005168809750338025,0.017669215150956,1.1675705236457,16.437261489525,0.4359154567205434,NA,NA,3.625,2.777777778,3.176470588,5.166666667,2.75,22,7,11,13
M3_block_alpha_stickiness,27,13548221,0.013072179925065002,0.0542908796992975,2.436326426056125,4.54882587945,-0.07126083139849075,NA,NA,3.125,4.111111111,3.647058824,4.5,5.25,19,20,14,19
M3_block_alpha_stickiness,28,13548840,0.365295078819563,0.328461326019747,-0.155117218381105,0.447977204176725,0.1560981014670878,NA,NA,3.5,4.111111111,3.823529412,6,3,2,7,35,2
M3_block_alpha_stickiness,29,13549051,0.395895756853907,0.4281780523401735,-0.26922797569933,1.5526025158232,1.9393368893,NA,NA,5.5,4.666666667,5.058823529,5,6,23,14,23,9
M3_block_alpha_stickiness,30,13549479,0.690688785305805,0.7576039738962,0.1958740817843625,1.5229727669025,0.922416984995,NA,NA,3.625,5.222222222,4.470588235,6.833333333,5,15,14,6,14
M3_block_alpha_stickiness,31,13549649,0.5361033222409525,0.59891244844109,0.23005136667012974,1.38555532587675,0.61691732387725,NA,NA,2.25,3.111111111,2.705882353,4.833333333,2.25,24,21,12,26
M3_block_alpha_stickiness,32,13551194,0.343988990532425,0.8434883956514,1.1512976767820562,1.6866846707367,0.4211139429920475,NA,NA,3.75,3.222222222,3.470588235,6.833333333,6.25,14,6,28,3
M3_block_alpha_stickiness,33,13551454,0.44526493731405514,0.18852083275695483,-1.86102793511672,0.5087203681033575,1.08919424374,NA,NA,4,3.111111111,3.529411765,5.166666667,5.25,26,13,30,9
M3_block_alpha_stickiness,34,13552853,0.18864816838357792,0.64003426338465,3.725749026198035,2.1751159378425,0.637260919740825,NA,NA,4,2.888888889,3.411764706,5,4.25,25,29,17,30
