model,condition,trial_within_phase,metric,observed,posterior_predictive_mean,posterior_predictive_median,lower_95,upper_95
M3_block_alpha_stickiness,Volatile3,4,optimal_choice,0.6153846153846154,0.5306666666666666,0.5230769230769231,0.43807692307692314,0.6461538461538462
M3_block_alpha_stickiness,Volatile3,5,choose_blue,0.4307692307692308,0.44974358974358974,0.46153846153846156,0.3384615384615385,0.5619230769230765
M3_block_alpha_stickiness,Volatile3,5,optimal_choice,0.5538461538461539,0.5696410256410257,0.5692307692307692,0.46153846153846156,0.676923076923077
M3_block_alpha_stickiness,Volatile3,6,choose_blue,0.35384615384615387,0.4374871794871795,0.4307692307692308,0.3384615384615385,0.5384615384615384
M3_block_alpha_stickiness,Volatile3,6,optimal_choice,0.6615384615384615,0.5626153846153846,0.5692307692307692,0.46153846153846156,0.6696153846153843
M3_block_alpha_stickiness,Volatile3,7,choose_blue,0.4,0.38646153846153847,0.38461538461538464,0.27692307692307694,0.5076923076923077
M3_block_alpha_stickiness,Volatile3,7,optimal_choice,0.6,0.6135384615384616,0.6153846153846154,0.49230769230769234,0.7230769230769231
M3_block_alpha_stickiness,Volatile3,8,choose_blue,0.4153846153846154,0.4450769230769231,0.4461538461538462,0.3384615384615385,0.5538461538461539
M3_block_alpha_stickiness,Volatile3,8,optimal_choice,0.5692307692307692,0.5596410256410257,0.5538461538461539,0.45346153846153847,0.6615384615384615
M3_block_alpha_stickiness,Volatile3,9,choose_blue,0.4,0.44974358974358974,0.4461538461538462,0.3303846153846154,0.5538461538461539
M3_block_alpha_stickiness,Volatile3,9,optimal_choice,0.5384615384615384,0.5438974358974359,0.5384615384615384,0.43807692307692314,0.6461538461538462
M3_block_alpha_stickiness,Volatile3,10,choose_blue,0.35384615384615387,0.41800000000000004,0.4153846153846154,0.3076923076923077,0.5384615384615384
M3_block_alpha_stickiness,Volatile3,10,optimal_choice,0.676923076923077,0.5937948717948718,0.6,0.47692307692307695,0.7076923076923077
M3_block_alpha_stickiness,Volatile3,11,choose_blue,0.4153846153846154,0.40194871794871795,0.4,0.2842307692307693,0.5076923076923077
M3_block_alpha_stickiness,Volatile3,11,optimal_choice,0.5692307692307692,0.5944615384615385,0.6,0.48423076923076924,0.7076923076923077
M3_block_alpha_stickiness,Volatile3,12,choose_blue,0.4307692307692308,0.3973846153846154,0.4,0.2923076923076923,0.5076923076923077
M3_block_alpha_stickiness,Volatile3,12,optimal_choice,0.5538461538461539,0.6055897435897436,0.6,0.49230769230769234,0.7230769230769231
M3_block_alpha_stickiness,Volatile3,13,choose_blue,0.4461538461538462,0.4275897435897436,0.4153846153846154,0.3384615384615385,0.5384615384615384
M3_block_alpha_stickiness,Volatile3,13,optimal_choice,0.5384615384615384,0.5731282051282052,0.5846153846153846,0.46153846153846156,0.6696153846153843
M3_block_alpha_stickiness,Volatile3,14,choose_blue,0.4307692307692308,0.4176410256410257,0.4307692307692308,0.31500000000000006,0.5230769230769231
M3_block_alpha_stickiness,Volatile3,14,optimal_choice,0.5692307692307692,0.5938461538461538,0.6,0.49230769230769234,0.7076923076923077
M3_block_alpha_stickiness,Volatile3,15,choose_blue,0.4461538461538462,0.4314871794871795,0.4307692307692308,0.3076923076923077,0.5384615384615384
M3_block_alpha_stickiness,Volatile3,15,optimal_choice,0.5538461538461539,0.5791794871794872,0.5846153846153846,0.4688461538461539,0.6923076923076923
M3_block_alpha_stickiness,Volatile3,16,choose_blue,0.38461538461538464,0.4156410256410257,0.4153846153846154,0.3230769230769231,0.5230769230769231
M3_block_alpha_stickiness,Volatile3,16,optimal_choice,0.5846153846153846,0.5834358974358974,0.5846153846153846,0.47692307692307695,0.676923076923077
M3_block_alpha_stickiness,Volatile3,17,choose_blue,0.36923076923076925,0.3737435897435898,0.36923076923076925,0.26153846153846155,0.49230769230769234
M3_block_alpha_stickiness,Volatile3,17,optimal_choice,0.6615384615384615,0.6565128205128206,0.6615384615384615,0.5384615384615384,0.7692307692307693
M3_block_alpha_stickiness,Volatile3,18,choose_blue,0.4461538461538462,0.41733333333333333,0.4153846153846154,0.3230769230769231,0.5230769230769231
M3_block_alpha_stickiness,Volatile3,18,optimal_choice,0.5538461538461539,0.5835897435897436,0.5846153846153846,0.47692307692307695,0.676923076923077
M3_block_alpha_stickiness,Volatile3,19,choose_blue,0.38461538461538464,0.40753846153846157,0.4153846153846154,0.29961538461538467,0.500384615384615
M3_block_alpha_stickiness,Volatile3,19,optimal_choice,0.6461538461538462,0.6277435897435898,0.6307692307692307,0.5303846153846155,0.7230769230769231
M3_block_alpha_stickiness,Volatile3,20,choose_blue,0.3384615384615385,0.432974358974359,0.4307692307692308,0.3230769230769231,0.5384615384615384
M3_block_alpha_stickiness,Volatile3,20,optimal_choice,0.6307692307692307,0.570923076923077,0.5692307692307692,0.46153846153846156,0.676923076923077
M4_block_alpha_full_response,Volatile1,1,choose_blue,0.676923076923077,0.5405641025641026,0.5384615384615384,0.4461538461538462,0.6388461538461535
M4_block_alpha_full_response,Volatile1,1,optimal_choice,0.36923076923076925,0.5051794871794872,0.5076923076923077,0.4,0.6
M4_block_alpha_full_response,Volatile1,2,choose_blue,0.5230769230769231,0.46789743589743593,0.46153846153846156,0.3765384615384616,0.577307692307692
M4_block_alpha_full_response,Volatile1,2,optimal_choice,0.5230769230769231,0.587076923076923,0.5846153846153846,0.49230769230769234,0.6923076923076923
M4_block_alpha_full_response,Volatile1,3,choose_blue,0.47692307692307695,0.4803589743589744,0.47692307692307695,0.38461538461538464,0.5692307692307692
M4_block_alpha_full_response,Volatile1,3,optimal_choice,0.5692307692307692,0.591948717948718,0.5846153846153846,0.4996153846153847,0.6923076923076923
M4_block_alpha_full_response,Volatile1,4,choose_blue,0.5384615384615384,0.43215384615384617,0.4307692307692308,0.3384615384615385,0.5384615384615384
M4_block_alpha_full_response,Volatile1,4,optimal_choice,0.49230769230769234,0.599948717948718,0.6,0.47692307692307695,0.7076923076923077
M4_block_alpha_full_response,Volatile1,5,choose_blue,0.5076923076923077,0.433948717948718,0.4307692307692308,0.3303846153846154,0.5465384615384612
M4_block_alpha_full_response,Volatile1,5,optimal_choice,0.5846153846153846,0.6061538461538462,0.6,0.5076923076923077,0.7076923076923077
M4_block_alpha_full_response,Volatile1,6,choose_blue,0.47692307692307695,0.43528205128205133,0.4307692307692308,0.3303846153846154,0.5384615384615384
M4_block_alpha_full_response,Volatile1,6,optimal_choice,0.6307692307692307,0.6137435897435898,0.6153846153846154,0.5230769230769231,0.7076923076923077
M4_block_alpha_full_response,Volatile1,7,choose_blue,0.5384615384615384,0.44764102564102565,0.4461538461538462,0.3230769230769231,0.577307692307692
M4_block_alpha_full_response,Volatile1,7,optimal_choice,0.5230769230769231,0.583025641025641,0.5846153846153846,0.47692307692307695,0.6923076923076923
M4_block_alpha_full_response,Volatile1,8,choose_blue,0.5076923076923077,0.45333333333333337,0.4461538461538462,0.36923076923076925,0.5538461538461539
M4_block_alpha_full_response,Volatile1,8,optimal_choice,0.5384615384615384,0.5993846153846154,0.6,0.4996153846153847,0.7076923076923077
M4_block_alpha_full_response,Volatile1,9,choose_blue,0.4461538461538462,0.4227692307692308,0.42307692307692313,0.31500000000000006,0.5230769230769231
M4_block_alpha_full_response,Volatile1,9,optimal_choice,0.6461538461538462,0.6250256410256411,0.6307692307692307,0.5230769230769231,0.7311538461538458
M4_block_alpha_full_response,Volatile1,10,choose_blue,0.47692307692307695,0.40892307692307694,0.4153846153846154,0.3076923076923077,0.5076923076923077
M4_block_alpha_full_response,Volatile1,10,optimal_choice,0.6153846153846154,0.6465641025641026,0.6461538461538462,0.5384615384615384,0.7538461538461538
M4_block_alpha_full_response,Volatile1,11,choose_blue,0.46153846153846156,0.42553846153846153,0.4153846153846154,0.3230769230769231,0.5311538461538458
M4_block_alpha_full_response,Volatile1,11,optimal_choice,0.5076923076923077,0.6129230769230769,0.6153846153846154,0.5076923076923077,0.7076923076923077
