model,ppc_draw,metric,value
M3_block_alpha_stickiness,39,choose_blue,0.5167948717948718
M3_block_alpha_stickiness,39,stay_rate,0.6081447963800904
M3_block_alpha_stickiness,39,switch_after_loss,0.447669550655875
M3_block_alpha_stickiness,39,switch_after_no_loss,0.3436897880539499
M3_block_alpha_stickiness,40,optimal_choice,0.5790562378797673
M3_block_alpha_stickiness,40,choose_blue,0.5283333333333333
M3_block_alpha_stickiness,40,stay_rate,0.6056884292178409
M3_block_alpha_stickiness,40,switch_after_loss,0.45422149122807015
M3_block_alpha_stickiness,40,switch_after_no_loss,0.3408367996085148
M3_block_alpha_stickiness,41,optimal_choice,0.5997414350355527
M3_block_alpha_stickiness,41,choose_blue,0.5230769230769231
M3_block_alpha_stickiness,41,stay_rate,0.6148674854557208
M3_block_alpha_stickiness,41,switch_after_loss,0.45698166431593795
M3_block_alpha_stickiness,41,switch_after_no_loss,0.32434367541766107
M3_block_alpha_stickiness,42,optimal_choice,0.5972850678733032
M3_block_alpha_stickiness,42,choose_blue,0.5333333333333333
M3_block_alpha_stickiness,42,stay_rate,0.6257272139625081
M3_block_alpha_stickiness,42,switch_after_loss,0.4384858044164038
M3_block_alpha_stickiness,42,switch_after_no_loss,0.3215630885122411
M3_block_alpha_stickiness,43,optimal_choice,0.6032320620555914
M3_block_alpha_stickiness,43,choose_blue,0.5342307692307692
M3_block_alpha_stickiness,43,stay_rate,0.6147382029734971
M3_block_alpha_stickiness,43,switch_after_loss,0.4687410790750785
M3_block_alpha_stickiness,43,switch_after_no_loss,0.31616257088846883
M3_block_alpha_stickiness,44,optimal_choice,0.6020685197155785
M3_block_alpha_stickiness,44,choose_blue,0.5334615384615384
M3_block_alpha_stickiness,44,stay_rate,0.6072398190045248
M3_block_alpha_stickiness,44,switch_after_loss,0.4576271186440678
M3_block_alpha_stickiness,44,switch_after_no_loss,0.33802145411203816
M3_block_alpha_stickiness,45,optimal_choice,0.6027149321266968
M3_block_alpha_stickiness,45,choose_blue,0.537051282051282
M3_block_alpha_stickiness,45,stay_rate,0.6139625080801552
M3_block_alpha_stickiness,45,switch_after_loss,0.45202312138728323
M3_block_alpha_stickiness,45,switch_after_no_loss,0.33263157894736844
M3_block_alpha_stickiness,46,optimal_choice,0.5974143503555268
M3_block_alpha_stickiness,46,choose_blue,0.5216666666666666
M3_block_alpha_stickiness,46,stay_rate,0.6122818358112476
M3_block_alpha_stickiness,46,switch_after_loss,0.45485616633437764
M3_block_alpha_stickiness,46,switch_after_no_loss,0.3319128787878788
M3_block_alpha_stickiness,47,optimal_choice,0.6006464124111183
M3_block_alpha_stickiness,47,choose_blue,0.5306410256410257
M3_block_alpha_stickiness,47,stay_rate,0.6127989657401423
M3_block_alpha_stickiness,47,switch_after_loss,0.4562446898895497
M3_block_alpha_stickiness,47,switch_after_no_loss,0.3292102759276879
M3_block_alpha_stickiness,48,optimal_choice,0.6014221073044602
M3_block_alpha_stickiness,48,choose_blue,0.5333333333333333
M3_block_alpha_stickiness,48,stay_rate,0.6107304460245637
M3_block_alpha_stickiness,48,switch_after_loss,0.4639261744966443
M3_block_alpha_stickiness,48,switch_after_no_loss,0.3250781437845636
M3_block_alpha_stickiness,49,optimal_choice,0.5899159663865546
M3_block_alpha_stickiness,49,choose_blue,0.5275641025641026
M3_block_alpha_stickiness,49,stay_rate,0.6058177117000646
M3_block_alpha_stickiness,49,switch_after_loss,0.4585635359116022
M3_block_alpha_stickiness,49,switch_after_no_loss,0.33754556500607535
M3_block_alpha_stickiness,50,optimal_choice,0.5945701357466063
M3_block_alpha_stickiness,50,choose_blue,0.5228205128205128
M3_block_alpha_stickiness,50,stay_rate,0.6116354234001293
M3_block_alpha_stickiness,50,switch_after_loss,0.4522346368715084
M3_block_alpha_stickiness,50,switch_after_no_loss,0.3333333333333333
M3_block_alpha_stickiness,51,optimal_choice,0.6016806722689075
M3_block_alpha_stickiness,51,choose_blue,0.5291025641025641
M3_block_alpha_stickiness,51,stay_rate,0.6065934065934065
M3_block_alpha_stickiness,51,switch_after_loss,0.47979510529311326
M3_block_alpha_stickiness,51,switch_after_no_loss,0.3214877990997394
M3_block_alpha_stickiness,52,optimal_choice,0.6046541693600517
M3_block_alpha_stickiness,52,choose_blue,0.5319230769230769
M3_block_alpha_stickiness,52,stay_rate,0.6115061409179057
M3_block_alpha_stickiness,52,switch_after_loss,0.4676773455377574
M3_block_alpha_stickiness,52,switch_after_no_loss,0.32318943146968626
M3_block_alpha_stickiness,53,optimal_choice,0.6007756948933419
M3_block_alpha_stickiness,53,choose_blue,0.5201282051282051
M3_block_alpha_stickiness,53,stay_rate,0.6199095022624435
M3_block_alpha_stickiness,53,switch_after_loss,0.44997205142537733
M3_block_alpha_stickiness,53,switch_after_no_loss,0.31994226605725284
M3_block_alpha_stickiness,54,optimal_choice,0.5966386554621849
M3_block_alpha_stickiness,54,choose_blue,0.5242307692307693
M3_block_alpha_stickiness,54,stay_rate,0.6144796380090498
M3_block_alpha_stickiness,54,switch_after_loss,0.4618202310510003
M3_block_alpha_stickiness,54,switch_after_no_loss,0.320831342570473
M3_block_alpha_stickiness,55,optimal_choice,0.5959922430510666
M3_block_alpha_stickiness,55,choose_blue,0.5284615384615384
M3_block_alpha_stickiness,55,stay_rate,0.6126696832579186
M3_block_alpha_stickiness,55,switch_after_loss,0.45787234042553193
M3_block_alpha_stickiness,55,switch_after_no_loss,0.32826603325415676
M3_block_alpha_stickiness,56,optimal_choice,0.6085326438267614
M3_block_alpha_stickiness,56,choose_blue,0.5166666666666667
M3_block_alpha_stickiness,56,stay_rate,0.6106011635423401
M3_block_alpha_stickiness,56,switch_after_loss,0.47084048027444253
M3_block_alpha_stickiness,56,switch_after_no_loss,0.3221619070096767
M3_block_alpha_stickiness,57,optimal_choice,0.6011635423400129
M3_block_alpha_stickiness,57,choose_blue,0.5132051282051282
M3_block_alpha_stickiness,57,stay_rate,0.6130575307045896
M3_block_alpha_stickiness,57,switch_after_loss,0.45614035087719296
M3_block_alpha_stickiness,57,switch_after_no_loss,0.32873125446322304
M3_block_alpha_stickiness,58,optimal_choice,0.5895281189398837
M3_block_alpha_stickiness,58,choose_blue,0.5208974358974359
M3_block_alpha_stickiness,58,stay_rate,0.600387847446671
M3_block_alpha_stickiness,58,switch_after_loss,0.46300386526780785
M3_block_alpha_stickiness,58,switch_after_no_loss,0.3437879893022125
M3_block_alpha_stickiness,59,optimal_choice,0.604912734324499
M3_block_alpha_stickiness,59,choose_blue,0.5238461538461539
M3_block_alpha_stickiness,59,stay_rate,0.6094376212023271
M3_block_alpha_stickiness,59,switch_after_loss,0.45790497360377885
M3_block_alpha_stickiness,59,switch_after_no_loss,0.331963249516441
M3_block_alpha_stickiness,60,optimal_choice,0.6034906270200388
M3_block_alpha_stickiness,60,choose_blue,0.5211538461538462
M3_block_alpha_stickiness,60,stay_rate,0.6005171299288946
M3_block_alpha_stickiness,60,switch_after_loss,0.47
M3_block_alpha_stickiness,60,switch_after_no_loss,0.3412042502951594
M3_block_alpha_stickiness,61,optimal_choice,0.5928894634776988
M3_block_alpha_stickiness,61,choose_blue,0.5235897435897436
M3_block_alpha_stickiness,61,stay_rate,0.6135746606334842
M3_block_alpha_stickiness,61,switch_after_loss,0.4458755823513291
M3_block_alpha_stickiness,61,switch_after_no_loss,0.3333333333333333
M3_block_alpha_stickiness,62,optimal_choice,0.6056884292178409
M3_block_alpha_stickiness,62,choose_blue,0.5297435897435897
M3_block_alpha_stickiness,62,stay_rate,0.62120232708468
M3_block_alpha_stickiness,62,switch_after_loss,0.4433666191155492
M3_block_alpha_stickiness,62,switch_after_no_loss,0.3252955082742317
M3_block_alpha_stickiness,63,optimal_choice,0.6175824175824176
M3_block_alpha_stickiness,63,choose_blue,0.5176923076923077
M3_block_alpha_stickiness,63,stay_rate,0.6125404007756949
M3_block_alpha_stickiness,63,switch_after_loss,0.46911421911421913
M3_block_alpha_stickiness,63,switch_after_no_loss,0.32233325586799905
M3_block_alpha_stickiness,64,optimal_choice,0.598836457659987
M3_block_alpha_stickiness,64,choose_blue,0.5225641025641026
M3_block_alpha_stickiness,64,stay_rate,0.6015513897866839
M3_block_alpha_stickiness,64,switch_after_loss,0.46988973706530957
M3_block_alpha_stickiness,64,switch_after_no_loss,0.33825631252977606
M3_block_alpha_stickiness,65,optimal_choice,0.5945701357466063
M3_block_alpha_stickiness,65,choose_blue,0.5228205128205128
M3_block_alpha_stickiness,65,stay_rate,0.61590174531351
M3_block_alpha_stickiness,65,switch_after_loss,0.44170403587443946
M3_block_alpha_stickiness,65,switch_after_no_loss,0.3347732181425486
M3_block_alpha_stickiness,66,optimal_choice,0.5974143503555268
M3_block_alpha_stickiness,66,choose_blue,0.5317948717948718
M3_block_alpha_stickiness,66,stay_rate,0.6303813833225598
M3_block_alpha_stickiness,66,switch_after_loss,0.44047958892377964
M3_block_alpha_stickiness,66,switch_after_no_loss,0.31096408317580343
M3_block_alpha_stickiness,67,optimal_choice,0.5983193277310924
M3_block_alpha_stickiness,67,choose_blue,0.5148717948717949
M3_block_alpha_stickiness,67,stay_rate,0.6054298642533936
M3_block_alpha_stickiness,67,switch_after_loss,0.4535472972972973
M3_block_alpha_stickiness,67,switch_after_no_loss,0.3444896007650012
M3_block_alpha_stickiness,68,optimal_choice,0.593923723335488
M3_block_alpha_stickiness,68,choose_blue,0.5332051282051282
M3_block_alpha_stickiness,68,stay_rate,0.6096961861667745
M3_block_alpha_stickiness,68,switch_after_loss,0.46318156267566046
M3_block_alpha_stickiness,68,switch_after_no_loss,0.3282259995211875
M3_block_alpha_stickiness,69,optimal_choice,0.5878474466709761
M3_block_alpha_stickiness,69,choose_blue,0.528974358974359
M3_block_alpha_stickiness,69,stay_rate,0.6180995475113122
M3_block_alpha_stickiness,69,switch_after_loss,0.44285714285714284
M3_block_alpha_stickiness,69,switch_after_no_loss,0.3277167277167277
M3_block_alpha_stickiness,70,optimal_choice,0.6065934065934065
M3_block_alpha_stickiness,70,choose_blue,0.5321794871794872
M3_block_alpha_stickiness,70,stay_rate,0.6124111182934713
M3_block_alpha_stickiness,70,switch_after_loss,0.45652173913043476
M3_block_alpha_stickiness,70,switch_after_no_loss,0.3293584545671357
M3_block_alpha_stickiness,71,optimal_choice,0.6094376212023271
M3_block_alpha_stickiness,71,choose_blue,0.5235897435897436
M3_block_alpha_stickiness,71,stay_rate,0.6014221073044602
M3_block_alpha_stickiness,71,switch_after_loss,0.47269087789533887
M3_block_alpha_stickiness,71,switch_after_no_loss,0.3374233128834356
M3_block_alpha_stickiness,72,optimal_choice,0.6038784744667097
M3_block_alpha_stickiness,72,choose_blue,0.5378205128205128
M3_block_alpha_stickiness,72,stay_rate,0.6065934065934065
M3_block_alpha_stickiness,72,switch_after_loss,0.46575731741972154
M3_block_alpha_stickiness,72,switch_after_no_loss,0.33301707779886147
M3_block_alpha_stickiness,73,optimal_choice,0.6069812540400775
M3_block_alpha_stickiness,73,choose_blue,0.5302564102564102
M3_block_alpha_stickiness,73,stay_rate,0.5997414350355527
M3_block_alpha_stickiness,73,switch_after_loss,0.47543311559216134
M3_block_alpha_stickiness,73,switch_after_no_loss,0.3374466065495966
M3_block_alpha_stickiness,74,optimal_choice,0.598836457659987
M3_block_alpha_stickiness,74,choose_blue,0.5238461538461539
M3_block_alpha_stickiness,74,stay_rate,0.616677440206852
M3_block_alpha_stickiness,74,switch_after_loss,0.4599096555618295
M3_block_alpha_stickiness,74,switch_after_no_loss,0.3186262818984021
M3_block_alpha_stickiness,75,optimal_choice,0.6096961861667745
M3_block_alpha_stickiness,75,choose_blue,0.5253846153846153
M3_block_alpha_stickiness,75,stay_rate,0.5984486102133161
M3_block_alpha_stickiness,75,switch_after_loss,0.49134260573374966
M3_block_alpha_stickiness,75,switch_after_no_loss,0.3264482431149098
M3_block_alpha_stickiness,76,optimal_choice,0.5935358758888171
M3_block_alpha_stickiness,76,choose_blue,0.523974358974359
