model,ppc_draw,condition,metric,value
M3_block_alpha_stickiness,10,Stable,stay_rate,0.6130378096479792
M3_block_alpha_stickiness,10,Stable,switch_after_loss,0.4540845070422535
M3_block_alpha_stickiness,10,Stable,switch_after_no_loss,0.329126213592233
M3_block_alpha_stickiness,10,Volatile1,optimal_choice,0.6176923076923077
M3_block_alpha_stickiness,10,Volatile1,choose_blue,0.4307692307692308
M3_block_alpha_stickiness,10,Volatile1,stay_rate,0.6092307692307692
M3_block_alpha_stickiness,10,Volatile1,switch_after_loss,0.45346869712351945
M3_block_alpha_stickiness,10,Volatile1,switch_after_no_loss,0.3385049365303244
M3_block_alpha_stickiness,10,Volatile2,optimal_choice,0.625910931174089
M3_block_alpha_stickiness,10,Volatile2,choose_blue,0.5923076923076923
M3_block_alpha_stickiness,10,Volatile2,stay_rate,0.6038461538461538
M3_block_alpha_stickiness,10,Volatile2,switch_after_loss,0.4842105263157895
M3_block_alpha_stickiness,10,Volatile2,switch_after_no_loss,0.3273972602739726
M3_block_alpha_stickiness,10,Volatile3,optimal_choice,0.5753846153846154
M3_block_alpha_stickiness,10,Volatile3,choose_blue,0.43615384615384617
M3_block_alpha_stickiness,10,Volatile3,stay_rate,0.5992307692307692
M3_block_alpha_stickiness,10,Volatile3,switch_after_loss,0.4750830564784053
M3_block_alpha_stickiness,10,Volatile3,switch_after_no_loss,0.336676217765043
M3_block_alpha_stickiness,11,Stable,optimal_choice,0.5958974358974359
M3_block_alpha_stickiness,11,Stable,choose_blue,0.5641025641025641
M3_block_alpha_stickiness,11,Stable,stay_rate,0.6132985658409387
M3_block_alpha_stickiness,11,Stable,switch_after_loss,0.44829545454545455
M3_block_alpha_stickiness,11,Stable,switch_after_no_loss,0.3344578313253012
M3_block_alpha_stickiness,11,Volatile1,optimal_choice,0.6230769230769231
M3_block_alpha_stickiness,11,Volatile1,choose_blue,0.4146153846153846
M3_block_alpha_stickiness,11,Volatile1,stay_rate,0.63
M3_block_alpha_stickiness,11,Volatile1,switch_after_loss,0.4599659284497445
M3_block_alpha_stickiness,11,Volatile1,switch_after_no_loss,0.2959326788218794
